Feature,Reduced Dimension Space,Classification Error,Accuracy,F1-Score
PCA with mlp,100,0.4666666666666667,0.5333333333333333,0.5333333333333333
PCA with svm,100,0.4222222222222223,0.5777777777777777,0.5777777777777777
PCA with lr,100,0.5111111111111111,0.4888888888888889,0.4888888888888889
KPCA with mlp,100,0.8444444444444444,0.15555555555555556,0.15555555555555556
KPCA with svm,100,0.8962962962962963,0.1037037037037037,0.1037037037037037
KPCA with lr,100,0.8962962962962963,0.1037037037037037,0.1037037037037037
LDA with mlp,7,0.6444444444444444,0.35555555555555557,0.35555555555555557
LDA with svm,7,0.7777777777777778,0.2222222222222222,0.2222222222222222
LDA with lr,7,0.6370370370370371,0.362962962962963,0.36296296296296304
KLDA with mlp,7,0.6518518518518519,0.34814814814814815,0.34814814814814815
KLDA with svm,7,0.7777777777777778,0.2222222222222222,0.2222222222222222
KLDA with lr,7,0.6370370370370371,0.362962962962963,0.36296296296296304
VGG with mlp,4096,0.2647058823529411,0.7352941176470589,0.735294117647059
VGG with svm,4096,0.3382352941176471,0.6617647058823529,0.6617647058823529
VGG with lr,4096,0.2941176470588235,0.7058823529411765,0.7058823529411765
RESNET with mlp,2048,0.014705882352941124,0.9852941176470589,0.9852941176470589
RESNET with svm,2048,0.014705882352941124,0.9852941176470589,0.9852941176470589
RESNET with lr,2048,0.02941176470588236,0.9705882352941176,0.9705882352941176
