Feature,Reduced Dimension Space,Classification Error,Accuracy,F1-Score
PCA with mlp,100,0.19999999999999996,0.8,0.8000000000000002
PCA with svm,100,0.1875,0.8125,0.8125
PCA with lr,100,0.1875,0.8125,0.8125
KPCA with mlp,100,0.8375,0.1625,0.1625
KPCA with svm,100,0.9125,0.0875,0.0875
KPCA with lr,100,0.9125,0.0875,0.0875
LDA with mlp,7,0.26249999999999996,0.7375,0.7375
LDA with svm,7,0.5125,0.4875,0.4875
LDA with lr,7,0.22499999999999998,0.775,0.775
KLDA with mlp,7,0.22499999999999998,0.775,0.775
KLDA with svm,7,0.5125,0.4875,0.4875
KLDA with lr,7,0.22499999999999998,0.775,0.775
VGG with mlp,4096,0.15000000000000002,0.85,0.85
VGG with svm,4096,0.125,0.875,0.875
VGG with lr,4096,0.125,0.875,0.875
RESNET with mlp,2048,0.050000000000000044,0.95,0.9500000000000001
RESNET with svm,2048,0.025000000000000022,0.975,0.975
RESNET with lr,2048,0.050000000000000044,0.95,0.9500000000000001
