Feature,Reduced Dimension Space,Classification Error,Accuracy,F1-Score
PCA with mlp,100,0.06060606060606055,0.9393939393939394,0.9393939393939394
PCA with svm,100,0.1515151515151515,0.8484848484848485,0.8484848484848486
PCA with lr,100,0.0,1.0,1.0
KPCA with mlp,100,0.8484848484848485,0.15151515151515152,0.15151515151515152
KPCA with svm,100,0.9696969696969697,0.030303030303030304,0.030303030303030304
KPCA with lr,100,0.8787878787878788,0.12121212121212122,0.12121212121212122
LDA with mlp,14,0.030303030303030276,0.9696969696969697,0.9696969696969697
LDA with svm,14,0.09090909090909094,0.9090909090909091,0.9090909090909091
LDA with lr,14,0.030303030303030276,0.9696969696969697,0.9696969696969697
KLDA with mlp,14,0.06060606060606055,0.9393939393939394,0.9393939393939394
KLDA with svm,14,0.09090909090909094,0.9090909090909091,0.9090909090909091
KLDA with lr,14,0.030303030303030276,0.9696969696969697,0.9696969696969697
VGG with mlp,4096,0.5882352941176471,0.4117647058823529,0.4117647058823529
VGG with svm,4096,0.6470588235294117,0.35294117647058826,0.35294117647058826
VGG with lr,4096,0.5882352941176471,0.4117647058823529,0.4117647058823529
RESNET with mlp,2048,0.0,1.0,1.0
RESNET with svm,2048,0.0,1.0,1.0
RESNET with lr,2048,0.0,1.0,1.0
